"id","lat","lon","obs_date"
388,37.941,140.946,"08/13/1997 05:37:29"
389,37.914,140.944,"08/13/1997 06:23:41"
390,37.929,140.923,"08/13/1997 08:02:24"
391,37.902,140.933,"08/13/1997 16:19:49"
392,37.904,140.925,"08/13/1997 17:58:32"
393,37.922,140.938,"08/13/1997 19:39:51"
394,37.902,140.933,"08/13/1997 20:19:46"
375,39.675,143.858,"07/21/1997 03:07:08"
376,39.696,143.867,"07/21/1997 04:46:11"
377,39.721,143.885,"07/21/1997 06:28:27"
378,39.712,143.826,"07/21/1997 18:51:38"
379,39.535,143.534,"07/22/1997 04:32:51"
380,39.426,143.369,"07/22/1997 18:38:03"
381,39.806,142.59,"07/26/1997 03:51:11"
382,39.821,142.608,"07/26/1997 07:58:23"
383,39.843,142.6,"07/26/1997 20:16:06"
384,39.325,142.207,"07/27/1997 16:03:04"
385,38.442,141.361,"07/30/1997 08:06:06"
386,38.532,141.234,"07/30/1997 18:56:24"
387,37.946,140.964,08/12/1997 19:50:49
337,33.229,152.672,"05/24/1997 19:57:08"
338,34.279,153.899,"05/25/1997 19:31:16"
339,35.016,154.007,"05/26/1997 03:19:17"
340,34.814,153.552,"05/26/1997 06:56:46"
341,35.104,153.696,"05/26/1997 15:36:53"
342,35.312,153.026,"05/27/1997 06:28:25"
368,39.532,146.041,07/08/1997 03:47:14
369,39.524,145.01,"07/18/1997 03:38:39"
370,39.55,144.9,"07/18/1997 07:35:49"
371,39.633,144.631,"07/19/1997 03:28:43"
372,39.634,144.642,"07/19/1997 05:11:38"
373,39.68,144.086,"07/20/1997 17:22:05"
374,39.574,144.062,"07/20/1997 19:02:15"
324,30.646,157.093,05/10/1997 20:00:54
325,30.921,156.606,05/11/1997 07:17:51
326,31.094,157.161,05/11/1997 16:41:46
327,31.426,156.919,05/12/1997 02:27:30
328,31.966,156.668,05/12/1997 14:57:40
329,32.318,155.668,"05/13/1997 03:57:33"
330,31.838,154.058,"05/15/1997 19:53:33"
331,31.58,152.687,"05/20/1997 02:40:38"
332,31.568,152.847,"05/21/1997 04:12:31"
333,31.473,152.164,"05/21/1997 07:05:53"
334,31.704,152.212,"05/21/1997 18:17:14"
335,31.973,152.132,"05/22/1997 03:57:36"
336,32.066,152.156,"05/22/1997 19:01:18"
311,29.488,160.451,"04/30/1997 06:25:46"
312,29.424,159.832,05/02/1997 15:01:35
313,29.433,159.617,05/03/1997 02:27:22
314,29.318,159.274,05/03/1997 03:59:23
315,29.638,159.552,05/04/1997 03:51:46
316,29.653,159.712,05/04/1997 06:29:45
317,29.736,159.145,05/04/1997 18:59:57
318,30.074,160.089,05/07/1997 03:24:25
319,30.064,158.397,05/07/1997 19:29:23
320,29.981,158.098,05/08/1997 03:09:48
321,30.06,158.091,05/08/1997 06:44:31
322,30.305,157.43,05/09/1997 18:45:29
323,30.351,157.395,05/10/1997 02:43:43
298,26.575,165.505,04/12/1997 15:22:22
299,26.606,165.323,04/12/1997 18:34:35
300,26.805,165.13,"04/13/1997 07:27:55"
301,26.564,164.109,"04/14/1997 14:52:40"
302,27.025,164.221,"04/15/1997 14:50:17"
303,27.317,164.039,"04/16/1997 03:49:15"
304,27.526,163.779,"04/16/1997 16:13:49"
305,27.794,163.638,"04/19/1997 15:44:52"
306,27.43,163.276,"04/22/1997 02:39:03"
307,27.523,162.162,"04/23/1997 19:39:20"
308,28.54,161.342,"04/27/1997 03:29:50"
309,28.601,160.868,"04/27/1997 19:48:51"
310,29.244,160.212,"04/29/1997 19:10:08"
285,25.344,167.274,04/03/1997 18:35:22
286,25.497,167.098,04/04/1997 05:49:34
287,25.487,167.014,04/04/1997 15:01:35
288,25.508,166.865,04/05/1997 02:26:48
289,25.382,166.489,04/05/1997 14:52:18
290,25.841,166.609,04/07/1997 03:43:39
291,25.829,166.608,04/07/1997 06:24:11
292,25.83,166.605,04/07/1997 08:01:40
293,26.029,166.164,04/08/1997 20:06:04
294,26.072,166.198,04/09/1997 07:17:36
295,26.081,166.026,04/09/1997 15:54:08
296,26.079,165.708,04/10/1997 19:17:04
297,26.228,165.794,04/11/1997 03:03:15
272,24.349,170.157,"03/27/1997 16:33:03"
273,24.356,170.248,"03/27/1997 19:29:13"
274,24.358,169.812,"03/28/1997 06:43:15"
275,24.398,169.624,"03/28/1997 14:42:21"
276,24.439,169.581,"03/28/1997 16:25:44"
277,24.464,169.211,"03/29/1997 18:45:21"
278,24.257,169.292,"03/29/1997 20:20:14"
279,24.461,168.705,"03/30/1997 20:02:20"
280,24.583,168.525,"03/31/1997 03:21:49"
281,25.224,168.058,04/01/1997 15:40:35
282,25.323,167.836,04/02/1997 02:58:15
283,25.308,167.838,04/02/1997 08:14:27
284,25.308,167.627,04/02/1997 15:33:20
259,23.484,172.896,"03/21/1997 03:29:26"
260,23.48,172.939,"03/21/1997 07:32:34"
261,23.494,172.769,"03/21/1997 14:23:48"
262,23.445,172.767,"03/21/1997 16:00:39"
263,23.497,172.678,"03/21/1997 18:22:08"
264,23.457,172.692,"03/21/1997 19:59:23"
265,23.429,172.349,"03/22/1997 05:35:06"
266,23.429,172.371,"03/22/1997 07:09:50"
267,23.764,172.317,"03/22/1997 19:44:11"
268,24.013,171.489,"03/24/1997 08:05:41"
269,24.01,171.582,"03/24/1997 15:26:34"
270,24.134,171.417,"03/25/1997 07:46:31"
271,24.17,171.317,"03/25/1997 15:17:32"
246,23.464,175.05,"03/13/1997 07:13:21"
247,23.562,174.865,"03/13/1997 15:52:31"
248,23.456,174.868,"03/13/1997 17:55:07"
249,23.463,174.874,"03/13/1997 19:39:42"
250,23.256,174.572,"03/14/1997 02:59:01"
251,23.564,174.651,"03/14/1997 15:41:38"
245,23.498,175.031,"03/13/1997 03:15:58"
102,25.671,-137.485,"10/31/1996 16:21:59"
103,25.719,-137.884,11/01/1996 16:00:00
104,25.694,-138.365,11/02/1996 17:17:11
105,25.643,-138.776,11/03/1996 15:18:14
106,25.638,-138.789,11/03/1996 16:54:33
107,25.662,-138.974,11/04/1996 02:28:05
108,25.421,-138.794,11/05/1996 03:52:50
109,25.561,-139.579,11/05/1996 17:51:46
110,25.563,-140.274,11/07/1996 15:26:50
111,25.528,-140.267,11/07/1996 17:06:55
112,25.548,-140.815,11/09/1996 16:24:30
113,25.593,-141.048,11/10/1996 03:36:42
114,25.615,-141.252,11/10/1996 17:45:21
89,25.65,-135.568,"10/25/1996 15:15:15"
90,25.643,-135.579,"10/25/1996 16:53:06"
91,25.618,-135.77,"10/26/1996 02:28:26"
92,25.643,-135.633,"10/26/1996 04:04:04"
93,25.649,-135.865,"10/26/1996 16:30:03"
94,25.682,-135.856,"10/27/1996 03:40:38"
95,25.769,-136.848,"10/27/1996 16:12:53"
96,25.661,-136.189,"10/27/1996 17:48:55"
97,25.777,-136.543,"10/28/1996 15:47:56"
98,25.804,-136.654,"10/29/1996 02:58:02"
99,25.782,-136.896,"10/29/1996 15:27:31"
100,25.742,-137.339,"10/31/1996 02:17:44"
101,25.747,-137.569,"10/31/1996 14:44:13"
76,25.352,-132.356,"10/16/1996 15:10:43"
77,25.365,-132.815,"10/17/1996 14:47:32"
78,25.342,-132.846,"10/17/1996 16:23:56"
79,25.392,-133.153,"10/18/1996 16:08:17"
80,25.376,-133.889,"10/20/1996 17:00:37"
81,25.418,-134.033,"10/21/1996 02:30:42"
82,25.398,-134.232,"10/21/1996 14:59:47"
83,25.374,-134.241,"10/21/1996 16:37:45"
84,25.439,-134.545,"10/22/1996 16:19:21"
85,25.555,-134.964,"10/23/1996 15:56:27"
86,25.684,-135.241,"10/24/1996 15:31:29"
87,25.699,-135.264,"10/24/1996 17:13:00"
88,25.679,-135.482,"10/25/1996 04:32:06"
63,24.844,-128.285,10/05/1996 15:46:32
64,24.995,-128.834,10/06/1996 17:06:29
65,25.143,-129.202,10/07/1996 15:05:57
66,25.131,-129.206,10/07/1996 16:45:17
67,25.148,-129.493,10/08/1996 14:46:55
68,25.13,-129.579,10/08/1996 16:22:50
69,25.039,-129.741,10/10/1996 15:40:15
70,25.159,-131.075,10/12/1996 14:58:18
71,25.146,-131.106,10/12/1996 16:38:32
72,25.182,-131.317,"10/13/1996 03:47:48"
73,25.138,-131.353,"10/13/1996 14:36:15"
74,25.134,-131.472,"10/14/1996 15:50:51"
75,25.181,-132.047,"10/15/1996 17:11:06"
50,25.192,-123.185,"09/20/1996 20:06:42"
51,25.118,-123.446,"09/21/1996 15:54:40"
52,25.053,-123.725,"09/22/1996 15:30:57"
53,25.101,-123.835,"09/23/1996 02:46:18"
54,25.015,-124.523,"09/24/1996 14:52:36"
55,25.028,-124.641,"09/25/1996 03:45:22"
56,25.003,-124.818,"09/25/1996 14:27:07"
57,24.984,-124.843,"09/25/1996 16:07:56"
58,25.003,-125.182,"09/26/1996 15:48:20"
59,24.988,-125.888,"09/28/1996 16:41:37"
60,24.967,-126.176,"09/29/1996 16:21:31"
61,24.88,-126.514,"09/30/1996 15:59:01"
62,24.863,-127.272,10/02/1996 15:12:58
37,26.756,-119.533,09/07/1996 15:59:45
38,26.61,-119.543,09/08/1996 03:18:23
39,26.546,-119.728,09/08/1996 15:40:16
40,26.25,-120.619,09/09/1996 15:20:47
41,26.041,-119.922,09/10/1996 14:55:13
42,25.827,-120.256,09/12/1996 15:51:08
43,25.372,-121.303,"09/15/1996 14:47:36"
44,25.362,-121.337,"09/15/1996 16:24:08"
45,25.506,-121.718,"09/17/1996 15:47:52"
46,25.306,-122.33,"09/18/1996 17:00:17"
47,25.339,-122.52,"09/19/1996 04:11:52"
48,25.265,-122.73,"09/19/1996 16:37:26"
49,25.243,-122.934,"09/20/1996 03:50:55"
24,26.767,-118.484,"08/29/1996 03:33:18"
25,26.766,-118.537,"08/29/1996 14:19:14"
26,26.745,-118.549,"08/29/1996 15:58:14"
27,26.729,-118.76,"08/30/1996 15:39:03"
28,26.735,-118.922,"08/31/1996 15:14:57"
29,26.711,-118.937,"08/31/1996 16:52:11"
30,26.699,-119.09,09/01/1996 14:50:02
31,26.687,-119.093,09/01/1996 16:31:40
32,26.69,-119.019,09/03/1996 03:19:17
33,26.622,-119.121,09/03/1996 15:50:20
34,26.749,-119.215,09/05/1996 15:05:03
35,26.773,-119.391,09/06/1996 02:18:50
36,26.79,-119.519,09/07/1996 14:19:30
356,34.491,147.547,"06/16/1997 04:30:31"
357,34.696,147.617,"06/17/1997 02:33:50"
358,35.937,147.317,"06/19/1997 16:20:54"
359,36.002,147.268,"06/19/1997 20:28:27"
360,36.377,147.153,"06/20/1997 17:50:18"
361,36.323,147.244,"06/20/1997 20:01:07"
362,37.519,147.514,"06/23/1997 03:10:08"
363,39.061,146.783,"06/26/1997 15:01:48"
364,39.263,146.131,"06/30/1997 07:25:02"
365,39.699,143.94,07/02/1997 03:08:56
366,39.732,147.277,07/02/1997 18:55:08
367,39.717,146.511,07/06/1997 16:35:01
23,26.718,-118.443,"08/28/1996 16:18:30"
343,35.5,153.244,"05/29/1997 02:41:49"
344,36.345,154.614,"05/29/1997 07:30:06"
345,36.248,152.599,06/01/1997 06:21:49
346,35.578,151.03,06/03/1997 03:28:24
347,35.583,151.088,06/03/1997 15:52:20
348,35.389,151.121,06/04/1997 15:37:28
349,35.302,151.441,06/05/1997 03:02:51
350,34.148,150.77,06/06/1997 15:17:43
351,33.396,149.776,06/08/1997 04:12:37
352,33.08,148.745,06/10/1997 20:23:36
353,33.122,148.524,06/11/1997 16:03:40
354,33.155,148.426,06/11/1997 17:42:58
355,33.633,147.843,"06/14/1997 03:08:53"
212,22.279,-171.627,02/08/1997 04:08:49
11,26.876,-117.009,"08/24/1996 14:28:13"
12,26.84,-117.053,"08/24/1996 16:05:20"
13,26.83,-117.081,"08/24/1996 20:00:25"
14,26.781,-117.126,"08/25/1996 03:18:47"
15,26.762,-117.324,"08/25/1996 15:41:11"
16,26.659,-117.516,"08/26/1996 02:58:06"
17,26.684,-117.75,"08/26/1996 15:21:44"
18,26.669,-117.895,"08/27/1996 02:33:20"
19,26.733,-118.17,"08/27/1996 15:01:13"
20,26.722,-118.116,"08/27/1996 16:41:26"
21,26.711,-118.335,"08/28/1996 02:14:41"
22,26.726,-118.412,"08/28/1996 14:39:16"
199,24.033,-169.748,"01/29/1997 04:34:05"
200,24.123,-170.373,"01/29/1997 18:38:40"
201,24.09,-170.462,"01/31/1997 02:20:57"
202,24.095,-170.467,"01/31/1997 05:26:23"
203,23.92,-170.554,"01/31/1997 19:31:05"
204,23.926,-170.837,02/01/1997 05:05:50
205,23.926,-170.742,02/01/1997 19:07:11
206,24.042,-171.061,02/02/1997 17:10:44
207,23.487,-171.533,02/05/1997 06:52:02
208,22.748,-171.046,02/06/1997 18:57:23
209,22.669,-171.182,02/07/1997 04:32:35
210,22.465,-171.269,02/07/1997 15:18:07
211,22.271,-171.536,02/08/1997 02:33:31
186,23.326,-163.545,"01/15/1997 17:01:40"
187,23.341,-163.669,"01/16/1997 05:56:57"
188,23.405,-163.881,"01/16/1997 18:15:58"
189,23.51,-164.279,"01/17/1997 05:28:11"
190,23.752,-164.785,"01/18/1997 19:18:09"
191,24.025,-165.188,"01/19/1997 17:10:56"
192,24.386,-165.938,"01/20/1997 18:32:00"
193,23.972,-167.66,"01/22/1997 17:44:12"
194,24.133,-167.113,"01/22/1997 19:27:58"
195,24.09,-167.527,"01/23/1997 04:57:41"
196,24.128,-167.75,"01/23/1997 19:09:34"
197,24.088,-167.741,"01/24/1997 04:42:04"
198,23.561,-168.323,"01/25/1997 18:19:58"
173,24.842,-158.42,01/02/1997 05:56:25
174,24.502,-159.206,01/04/1997 17:41:54
175,24.422,-159.64,01/05/1997 17:20:07
176,24.326,-159.937,01/06/1997 04:31:13
177,24.328,-159.977,01/06/1997 06:12:56
178,24.262,-160.153,01/06/1997 16:52:08
179,24.232,-160.132,01/06/1997 18:35:12
180,23.964,-160.905,01/09/1997 03:25:44
181,23.897,-161.545,01/10/1997 17:10:12
182,23.737,-161.77,01/11/1997 04:25:57
183,23.565,-162.454,01/12/1997 18:07:33
184,23.397,-163.479,"01/15/1997 04:36:07"
185,23.407,-163.474,"01/15/1997 06:12:20"
160,24.901,-154.221,"12/17/1996 05:12:40"
161,24.874,-154.368,"12/17/1996 17:35:15"
162,24.706,-154.825,"12/18/1996 18:52:29"
163,24.674,-154.463,"12/19/1996 04:19:55"
164,24.635,-155.283,"12/20/1996 05:43:53"
165,24.62,-155.637,"12/21/1996 03:41:10"
166,24.615,-155.828,"12/21/1996 17:49:33"
167,24.89,-156.221,"12/22/1996 15:47:57"
168,25.131,-156.632,"12/22/1996 17:27:22"
169,25.141,-156.953,"12/25/1996 18:01:45"
170,25.265,-157.252,"12/26/1996 03:30:51"
171,25.6,-158.647,"12/30/1996 05:29:53"
172,24.84,-158.447,01/02/1997 04:16:53
147,25.521,-151.197,12/07/1996 05:31:55
148,25.42,-151.333,12/07/1996 17:53:59
149,25.286,-151.631,12/08/1996 03:24:34
150,25.211,-151.832,12/09/1996 04:43:41
151,25.117,-152.111,12/09/1996 18:50:02
152,25.118,-152.496,12/10/1996 18:26:09
153,25.09,-152.903,12/11/1996 18:05:18
154,25.188,-152.98,12/12/1996 05:21:24
155,25.151,-153.173,12/12/1996 17:46:29
156,25.213,-153.347,"12/13/1996 03:15:50"
157,25.261,-153.502,"12/13/1996 19:02:03"
158,25.331,-153.651,"12/14/1996 18:42:16"
159,24.997,-153.87,"12/16/1996 05:32:25"
134,26.333,-146.43,"11/24/1996 05:15:27"
135,26.329,-146.559,"11/24/1996 15:54:12"
136,26.072,-147.459,"11/26/1996 16:57:55"
137,26.878,-144.154,"11/27/1996 04:06:55"
138,25.963,-148.3,"11/28/1996 03:47:10"
139,25.954,-148.35,"11/28/1996 05:22:36"
140,25.913,-148.55,"11/28/1996 16:12:43"
141,25.859,-148.519,"11/28/1996 17:49:08"
142,25.902,-150.386,12/04/1996 03:13:21
143,25.813,-150.648,12/05/1996 02:51:42
144,25.794,-150.802,12/05/1996 16:57:28
145,25.669,-151.089,12/06/1996 16:33:20
146,25.576,-151.231,12/07/1996 03:47:36
121,25.75,-142.462,"11/13/1996 16:38:15"
122,26.056,-143.149,"11/15/1996 15:55:02"
123,26.005,-143.427,"11/16/1996 17:11:44"
124,26.027,-143.652,"11/17/1996 04:24:42"
125,25.966,-143.69,"11/17/1996 16:48:47"
126,25.982,-143.847,"11/18/1996 02:24:36"
127,26.002,-143.835,"11/18/1996 04:03:01"
128,26.161,-144.44,"11/20/1996 03:18:39"
129,26.111,-144.957,"11/21/1996 03:00:39"
130,26.293,-144.885,"11/21/1996 04:33:00"
131,26.337,-145.239,"11/21/1996 17:04:04"
132,26.263,-145.72,"11/22/1996 15:01:21"
133,26.774,-147.146,"11/22/1996 16:45:50"
226,22.3,-176.076,"02/21/1997 14:24:26"
227,22.012,-176.466,"02/22/1997 03:20:46"
228,22.143,-177.38,"02/23/1997 07:00:33"
229,22.417,-177.215,"02/24/1997 06:38:40"
230,22.451,-179.722,"02/25/1997 02:52:59"
231,21.574,-178.324,"02/26/1997 15:06:54"
232,21.886,-179.325,"02/26/1997 20:06:58"
233,21.988,-179.734,"02/27/1997 02:29:26"
234,23.158,-178.148,"02/27/1997 07:09:04"
235,21.951,-179.88,"02/27/1997 15:00:04"
118,25.625,-141.731,11/12/1996 04:38:48
119,25.738,-142.05,11/12/1996 15:18:14
120,25.74,-142.097,11/12/1996 16:59:41
213,22.361,-172.684,02/10/1997 05:01:28
214,22.243,-172.275,02/10/1997 06:44:18
215,22.401,-172.899,02/12/1997 14:25:15
216,22.248,-172.755,02/12/1997 20:08:17
217,22.226,-172.716,"02/13/1997 07:18:27"
218,22.184,-173.176,"02/14/1997 06:57:44"
219,22.263,-173.475,"02/15/1997 04:56:55"
220,22.169,-173.53,"02/15/1997 15:26:45"
221,22.306,-173.693,"02/16/1997 06:15:08"
222,21.896,-174.396,"02/18/1997 17:57:45"
223,21.924,-174.63,"02/19/1997 05:07:50"
224,21.831,-174.894,"02/19/1997 17:36:30"
225,22.306,-175.88,"02/21/1997 04:27:59"
1,28.668,-114.237,08/11/1996 01:15:00
2,28.365,-115.573,"08/17/1996 15:18:23"
3,28.26,-115.62,"08/18/1996 14:57:44"
4,28.252,-115.677,"08/18/1996 16:34:26"
5,28.185,-115.559,"08/19/1996 14:31:33"
6,28.168,-115.765,"08/19/1996 16:14:17"
7,28.171,-115.926,"08/20/1996 14:12:10"
8,28.133,-115.896,"08/20/1996 15:54:27"
9,27.361,-116.422,"08/22/1996 15:11:14"
10,27.004,-116.718,"08/23/1996 16:28:05"
252,23.704,173.653,"03/16/1997 15:18:09"
253,23.635,173.402,"03/17/1997 02:31:52"
254,23.544,173.242,"03/17/1997 19:47:09"
255,23.577,173.112,"03/18/1997 04:01:07"
256,23.627,168.484,"03/18/1997 19:26:36"
257,23.69,172.979,"03/19/1997 03:49:31"
258,23.497,173.023,"03/20/1997 20:18:05"
115,25.653,-141.611,11/11/1996 04:53:32
116,25.635,-141.71,11/11/1996 15:41:21
117,25.647,-141.857,11/12/1996 02:54:16
236,21.905,179.925,"02/28/1997 06:50:04"
237,21.754,179.587,03/01/1997 18:59:34
238,22.049,178.971,03/03/1997 05:43:15
239,22.356,178.215,03/04/1997 05:24:04
240,22.289,178.06,03/04/1997 15:41:50
241,23.182,176.165,03/08/1997 19:42:38
242,23.136,176.046,03/09/1997 02:24:28
243,23.481,175.637,03/11/1997 06:11:34
244,23.458,175.518,03/11/1997 20:15:48
